"","X","X.1","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Location"
"2631",2631,114984,"1/7/18","Common Assault","Nelson Park.",1428400,"Napier City.","Hawkes Bay/ Gisborne"
"2632",2632,114989,"1/7/18","Common Assault","Pyes Pa.",1192114,"Tauranga City.","Bay Of Plenty"
"2633",2633,114994,"1/7/18","Common Assault","Henderson North.",239300,"Auckland.","Auckland"
"2634",2634,114996,"1/7/18","Serious Assault Not Resulting in Injury","Tahunanui.",2333800,"Nelson City.","Tasman/ South-West Coast"
"2635",2635,115003,"1/7/18","Serious Assault Resulting in Injury","Tauranga South.",1169101,"Tauranga City.","Bay Of Plenty"
"2636",2636,115009,"1/7/18","Common Assault","Bruce.",2988300,"Clutha District.","Southland/ Otago"
"2637",2637,115014,"1/7/18","Common Assault","Springleigh.",523200,"Auckland.","Auckland"
"2638",2638,115019,"1/7/18","Common Assault","Titahi Bay South.",2039800,"Porirua City.","Wellington/ Lower-Central North"
"2639",2639,115024,"1/7/18","Common Assault","Hamilton Central.",910900,"Hamilton City.","Waikato"
"2640",2640,115029,"1/7/18","Common Assault","Thorndon-Tinakori Road.",2122700,"Wellington City.","Wellington/ Lower-Central North"
"2641",2641,115036,"1/7/18","Serious Assault Not Resulting in Injury","Kuirau.",1233400,"Rotorua District.","Bay Of Plenty"
"2642",2642,115043,"1/7/18","Serious Assault Resulting in Injury","Mt Eden North.",542700,"Auckland.","Auckland"
"2643",2643,115048,"1/7/18","Serious Assault Resulting in Injury","Elderslea.",1886000,"Upper Hutt City.","Wellington/ Lower-Central North"
"2644",2644,115049,"1/7/18","Common Assault","Mangere Central.",740200,"Auckland.","Auckland"
"2645",2645,115059,"1/7/18","Common Assault","Aro Street-Nairn Street.",2159204,"Wellington City.","Wellington/ Lower-Central North"
"2646",2646,115064,"1/7/18","Common Assault","Kaitaia West.",15200,"Far North District.","Northland"
"2647",2647,115069,"1/7/18","Common Assault","Viscount.",737901,"Auckland.","Auckland"
"2648",2648,115076,"1/7/18","Serious Assault Not Resulting in Injury","Mahora.",1482900,"Hastings District.","Hawkes Bay/ Gisborne"
"2649",2649,115081,"1/7/18","Serious Assault Not Resulting in Injury","Blenheim Central.",2297500,"Marlborough District.","Tasman/ South-West Coast"
"2650",2650,115083,"1/7/18","Serious Assault Resulting in Injury","Takanini South.",766301,"Auckland.","Auckland"
"2651",2651,115115,"1/7/18","Aggravated Sexual Assault","Rabbit Island.",2357701,"Tasman District.","Tasman/ South-West Coast"
"2652",2652,115120,"1/7/18","Aggravated Sexual Assault","999999",-43,"Auckland.","Auckland"
"2653",2653,115122,"1/7/18","Non-Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2131500,"Wellington City.","Wellington/ Lower-Central North"
"2654",2654,115130,"1/7/18","Aggravated Sexual Assault","Rosehill.",805000,"Auckland.","Auckland"
"2655",2655,116894,"1/10/18","Common Assault","Howick Central.",646700,"Auckland.","Auckland"
"2656",2656,116901,"1/10/18","Serious Assault Not Resulting in Injury","Glenavon.",381200,"Auckland.","Auckland"
"2657",2657,116909,"1/10/18","Common Assault","Hamilton Lake.",932400,"Hamilton City.","Waikato"
"2658",2658,116911,"1/10/18","Serious Assault Not Resulting in Injury","-29",-29,"Auckland.","Auckland"
"2659",2659,116919,"1/10/18","Common Assault","Mangere Bridge.",722600,"Auckland.","Auckland"
"2660",2660,116924,"1/10/18","Common Assault","Stanmore Bay West.",173417,"Auckland.","Auckland"
"2661",2661,116926,"1/10/18","Serious Assault Not Resulting in Injury","Marchwiel.",2782900,"Timaru District.","Canterbury"
"2662",2662,116931,"1/10/18","Serious Assault Not Resulting in Injury","Sydenham.",2618100,"Christchurch City.","Canterbury"
"2663",2663,116934,"1/10/18","Common Assault","Ranui South.",238401,"Auckland.","Auckland"
"2664",2664,116939,"1/10/18","Common Assault","Otautau.",3177000,"Southland District.","Southland/ Otago"
