"","X","X.1","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Location"
"1",1,4,"1/2/17","Common Assault","Phillipstown.",2605400,"Christchurch City.","Canterbury"
"2",2,9,"1/2/17","Common Assault","Kohuora.",746313,"Auckland.","Auckland"
"3",3,14,"1/2/17","Common Assault","Williams Domain.",1691000,"Wanganui District.","West Coast/ Upper-Central North"
"4",4,19,"1/2/17","Common Assault","Onehunga South East.",602402,"Auckland.","Auckland"
"5",5,24,"1/2/17","Common Assault","Hamilton East.",892800,"Hamilton City.","Waikato"
"6",6,31,"1/2/17","Serious Assault Not Resulting in Injury","Henderson South.",243300,"Auckland.","Auckland"
"7",7,36,"1/2/17","Serious Assault Not Resulting in Injury","Appleby-Kew.",3113600,"Invercargill City.","Southland/ Otago"
"8",8,38,"1/2/17","Serious Assault Resulting in Injury","Highfield.",2787100,"Timaru District.","Canterbury"
"9",9,55,"1/3/17","Aggravated Sexual Assault","Papakura Central.",793000,"Auckland.","Auckland"
"10",10,60,"1/3/17","Aggravated Sexual Assault","Lake Alice.",1741100,"Rangitikei District.","West Coast/ Upper-Central North"
"11",11,65,"1/3/17","Aggravated Sexual Assault","New Lynn South.",269200,"Auckland.","Auckland"
"12",12,70,"1/3/17","Aggravated Sexual Assault","Hokitika Urban.",2425200,"Westland District.","Tasman/ South-West Coast"
"13",13,72,"1/3/17","Non-Aggravated Sexual Assault","St Kilda Central.",2949900,"Dunedin City.","Southland/ Otago"
"14",14,75,"1/3/17","Aggravated Sexual Assault","Te Pahu.",860300,"Waipa District.","Waikato"
"15",15,77,"1/3/17","Non-Aggravated Sexual Assault","Shirley East.",2596100,"Christchurch City.","Canterbury"
"16",16,83,"1/2/17","Serious Assault Resulting in Injury","Waverley.",1664100,"South Taranaki District.","West Coast/ Upper-Central North"
"17",17,89,"1/2/17","Common Assault","Doncaster.",1206830,"Tauranga City.","Bay Of Plenty"
"18",18,94,"1/2/17","Common Assault","Gisborne Central.",1368900,"Gisborne District.","Hawkes Bay/ Gisborne"
"19",19,99,"1/2/17","Common Assault","Porritt.",875000,"Hamilton City.","Waikato"
"20",20,104,"1/2/17","Common Assault","Takaro.",1826400,"Palmerston North City.","West Coast/ Upper-Central North"
"21",21,106,"1/2/17","Serious Assault Not Resulting in Injury","Kaitaia West.",15500,"Far North District.","Northland"
"22",22,111,"1/2/17","Serious Assault Not Resulting in Injury","Mangere South.",728805,"Auckland.","Auckland"
"23",23,118,"1/2/17","Serious Assault Resulting in Injury","Westown.",1575500,"New Plymouth District.","West Coast/ Upper-Central North"
"24",24,124,"1/2/17","Common Assault","Cathedral Square.",2653000,"Christchurch City.","Canterbury"
"25",25,129,"1/2/17","Common Assault","Auckland Central East.",438106,"Auckland.","Auckland"
"26",26,134,"1/2/17","Common Assault","Onekawa South.",1441800,"Napier City.","Hawkes Bay/ Gisborne"
"27",27,139,"1/2/17","Common Assault","Stuart St-Frederick St.",2901000,"Dunedin City.","Southland/ Otago"
"28",28,144,"1/2/17","Common Assault","Te Kauwhata.",938301,"Waikato District.","Waikato"
"29",29,149,"1/2/17","Common Assault","Royal Oak.",566300,"Auckland.","Auckland"
"30",30,154,"1/2/17","Common Assault","Struan Park.",1567600,"New Plymouth District.","West Coast/ Upper-Central North"
"31",31,159,"1/2/17","Common Assault","Tauranga Central.",1163900,"Tauranga City.","Bay Of Plenty"
"32",32,230,"1/3/17","Aggravated Sexual Assault","Akarana.",582700,"Auckland.","Auckland"
"33",33,235,"1/3/17","Aggravated Sexual Assault","Wanganui Collegiate.",1721302,"Wanganui District.","West Coast/ Upper-Central North"
"34",34,647,"1/7/17","Non-Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2135600,"Wellington City.","Wellington/ Lower-Central North"
"35",35,1166,"1/2/17","Serious Assault Not Resulting in Injury","Gonville West.",1718300,"Wanganui District.","West Coast/ Upper-Central North"
"36",36,1171,"1/2/17","Serious Assault Not Resulting in Injury","Otaki.",1881700,"Kapiti Coast District.","Wellington/ Lower-Central North"
"37",37,1173,"1/2/17","Serious Assault Resulting in Injury","Taupo Central.",1273300,"Taupo District.","Waikato"
"38",38,1178,"1/2/17","Serious Assault Resulting in Injury","Highbury.",1818900,"Palmerston North City.","West Coast/ Upper-Central North"
"39",39,1183,"1/2/17","Serious Assault Resulting in Injury","Beachlands-Maraetai.",719303,"Auckland.","Auckland"
"40",40,1184,"1/2/17","Common Assault","Cathedral Square.",2649300,"Christchurch City.","Canterbury"
"41",41,1189,"1/2/17","Common Assault","Onekawa West.",1426300,"Napier City.","Hawkes Bay/ Gisborne"
"42",42,1194,"1/2/17","Common Assault","Whakatane North.",1307200,"Whakatane District.","Bay Of Plenty"
"43",43,1199,"1/2/17","Common Assault","Kinloch.",1278304,"Taupo District.","Waikato"
"44",44,1204,"1/2/17","Common Assault","Cloustonville.",1915700,"Upper Hutt City.","Wellington/ Lower-Central North"
"45",45,1209,"1/2/17","Common Assault","Maoribank.",1913801,"Upper Hutt City.","Wellington/ Lower-Central North"
"46",46,1214,"1/2/17","Common Assault","Te Hapara.",1366400,"Gisborne District.","Hawkes Bay/ Gisborne"
"47",47,1221,"1/2/17","Serious Assault Not Resulting in Injury","Gisborne Central.",1369900,"Gisborne District.","Hawkes Bay/ Gisborne"
"48",48,1226,"1/2/17","Serious Assault Not Resulting in Injury","Dannemora.",711709,"Auckland.","Auckland"
"49",49,1233,"1/2/17","Serious Assault Resulting in Injury","Auckland Central East.",437702,"Auckland.","Auckland"
"50",50,1238,"1/2/17","Serious Assault Resulting in Injury","Waerenga.",935600,"Waikato District.","Waikato"
"51",51,1244,"1/2/17","Common Assault","Auckland Harbourside.",437903,"Auckland.","Auckland"
"52",52,1249,"1/2/17","Common Assault","South Dunedin.",2930600,"Dunedin City.","Southland/ Otago"
"53",53,1254,"1/2/17","Common Assault","Wiri.",780414,"Auckland.","Auckland"
"54",54,1259,"1/2/17","Common Assault","999999",-40,"Auckland.","Auckland"
"55",55,1264,"1/2/17","Common Assault","Auckland Harbourside.",438209,"Auckland.","Auckland"
"56",56,1271,"1/2/17","Serious Assault Not Resulting in Injury","Mangapapa.",1377100,"Gisborne District.","Hawkes Bay/ Gisborne"
"57",57,1278,"1/2/17","Serious Assault Resulting in Injury","Kaikohe.",42500,"Far North District.","Northland"
"58",58,1284,"1/2/17","Common Assault","Otahuhu West.",784400,"Auckland.","Auckland"
"59",59,1289,"1/2/17","Common Assault","Brockville.",2881600,"Dunedin City.","Southland/ Otago"
"60",60,1294,"1/2/17","Common Assault","Manukau Central.",781200,"Auckland.","Auckland"
"61",61,1299,"1/2/17","Common Assault","Meadowbank North.",460000,"Auckland.","Auckland"
"62",62,1304,"1/2/17","Common Assault","Browns Bay.",161200,"Auckland.","Auckland"
"63",63,1311,"1/2/17","Serious Assault Not Resulting in Injury","Heretaunga-Silverstream.",1902101,"Upper Hutt City.","Wellington/ Lower-Central North"
"64",64,1318,"1/2/17","Serious Assault Resulting in Injury","Marewa.",1435500,"Napier City.","Hawkes Bay/ Gisborne"
"65",65,1329,"1/2/17","Common Assault","Glenavon.",380900,"Auckland.","Auckland"
"66",66,2014,"1/2/17","Common Assault","Langbein.",2340900,"Nelson City.","Tasman/ South-West Coast"
"67",67,2016,"1/2/17","Serious Assault Not Resulting in Injury","Brockville.",2882100,"Dunedin City.","Southland/ Otago"
"68",68,2023,"1/2/17","Serious Assault Resulting in Injury","Parua Bay.",73601,"Whangarei District.","Northland"
"69",69,2036,"1/2/17","Serious Assault Not Resulting in Injury","Onekawa South.",1442000,"Napier City.","Hawkes Bay/ Gisborne"
"70",70,2045,"1/2/17","Aggravated Sexual Assault","Spring Creek-Grovetown.",2278505,"Marlborough District.","Tasman/ South-West Coast"
"71",71,2624,"1/4/17","Common Assault","Insoll.",874000,"Hamilton City.","Waikato"
"72",72,2629,"1/4/17","Common Assault","Motueka West.",2378900,"Tasman District.","Tasman/ South-West Coast"
"73",73,3414,"1/8/17","Common Assault","Manukau Central.",780204,"Auckland.","Auckland"
"74",74,3419,"1/8/17","Common Assault","Riccarton South.",2475400,"Christchurch City.","Canterbury"
"75",75,3824,"1/5/17","Common Assault","Cannons Creek North.",2046600,"Porirua City.","Wellington/ Lower-Central North"
"76",76,3831,"1/5/17","Serious Assault Not Resulting in Injury","Bexley.",2570400,"Christchurch City.","Canterbury"
"77",77,3839,"1/5/17","Common Assault","Three Kings.",560800,"Auckland.","Auckland"
"78",78,3841,"1/5/17","Serious Assault Not Resulting in Injury","Awapuni South.",1804300,"Palmerston North City.","West Coast/ Upper-Central North"
"79",79,3849,"1/5/17","Common Assault","High St-Stuart St.",2899900,"Dunedin City.","Southland/ Otago"
"80",80,3856,"1/5/17","Serious Assault Not Resulting in Injury","Gonville South.",1725900,"Wanganui District.","West Coast/ Upper-Central North"
"81",81,3861,"1/5/17","Serious Assault Not Resulting in Injury","Auckland Central West.",434000,"Auckland.","Auckland"
"82",82,3869,"1/5/17","Common Assault","Greymouth South.",2411500,"Grey District.","Tasman/ South-West Coast"
"83",83,3874,"1/5/17","Common Assault","Tokoroa Central.",1143000,"South Waikato District.","Waikato"
"84",84,3881,"1/5/17","Serious Assault Not Resulting in Injury","Kawerau.",1316900,"Kawerau District.","Bay Of Plenty"
"85",85,3889,"1/5/17","Common Assault","Trafalgar.",2320600,"Nelson City.","Tasman/ South-West Coast"
"86",86,3894,"1/2/17","Common Assault","Silverdale.",885200,"Hamilton City.","Waikato"
"87",87,3899,"1/2/17","Common Assault","Cooks Gardens.",1697900,"Wanganui District.","West Coast/ Upper-Central North"
"88",88,3904,"1/2/17","Common Assault","Newton.",411700,"Auckland.","Auckland"
"89",89,3909,"1/2/17","Common Assault","Levin West.",1869402,"Horowhenua District.","Wellington/ Lower-Central North"
"90",90,3914,"1/2/17","Common Assault","Target Road.",182711,"Auckland.","Auckland"
"91",91,3921,"1/2/17","Serious Assault Not Resulting in Injury","Aranui.",2574000,"Christchurch City.","Canterbury"
"92",92,3926,"1/2/17","Serious Assault Not Resulting in Injury","Hillpark.",756600,"Auckland.","Auckland"
"93",93,3933,"1/2/17","Serious Assault Resulting in Injury","Kilbirnie East.",2178000,"Wellington City.","Wellington/ Lower-Central North"
"94",94,3938,"1/2/17","Serious Assault Resulting in Injury","Manukau Central.",780204,"Auckland.","Auckland"
"95",95,3975,"1/2/17","Aggravated Sexual Assault","Northcote.",2665100,"Christchurch City.","Canterbury"
"96",96,3995,"1/2/17","Aggravated Sexual Assault","Rowandale.",775816,"Auckland.","Auckland"
"97",97,4000,"1/2/17","Aggravated Sexual Assault","Roberton.",381900,"Auckland.","Auckland"
"98",98,4005,"1/2/17","Aggravated Sexual Assault","Pahiatua.",2218402,"Tararua District.","Wellington/ Lower-Central North"
"99",99,4007,"1/2/17","Non-Aggravated Sexual Assault","Nayland.",2340600,"Nelson City.","Tasman/ South-West Coast"
"100",100,6359,"1/5/17","Common Assault","Hawera North.",1642600,"South Taranaki District.","West Coast/ Upper-Central North"
"101",101,6364,"1/5/17","Common Assault","Kawakawa.",57700,"Far North District.","Northland"
"102",102,6369,"1/5/17","Common Assault","Bridge Pa.",1470213,"Hastings District.","Hawkes Bay/ Gisborne"
"103",103,6374,"1/5/17","Common Assault","Epsom North.",443200,"Auckland.","Auckland"
"104",104,6379,"1/5/17","Common Assault","Seaview.",2793900,"Timaru District.","Canterbury"
"105",105,6386,"1/5/17","Serious Assault Not Resulting in Injury","Tauhara.",1271100,"Taupo District.","Waikato"
"106",106,6393,"1/5/17","Serious Assault Resulting in Injury","Hamilton Central.",912200,"Hamilton City.","Waikato"
"107",107,6399,"1/5/17","Common Assault","Rongomai.",712802,"Auckland.","Auckland"
"108",108,6404,"1/5/17","Common Assault","Whakatane West.",1313608,"Whakatane District.","Bay Of Plenty"
"109",109,6409,"1/5/17","Common Assault","Papatoetoe West.",657800,"Auckland.","Auckland"
"110",110,6414,"1/5/17","Common Assault","Upper Hutt Central.",1906200,"Upper Hutt City.","Wellington/ Lower-Central North"
"111",111,6416,"1/5/17","Serious Assault Not Resulting in Injury","Dargaville.",116800,"Kaipara District.","Northland"
"112",112,6421,"1/5/17","Serious Assault Not Resulting in Injury","Waverley-Glengarry.",3131200,"Invercargill City.","Southland/ Otago"
"113",113,6428,"1/5/17","Serious Assault Resulting in Injury","Hamilton Central.",910400,"Hamilton City.","Waikato"
"114",114,6434,"1/5/17","Common Assault","Papakura Central.",792000,"Auckland.","Auckland"
"115",115,6439,"1/5/17","Common Assault","Leabank.",771400,"Auckland.","Auckland"
"116",116,6444,"1/5/17","Common Assault","Vinetown.",98200,"Whangarei District.","Northland"
"117",117,6449,"1/5/17","Common Assault","Parnell West.",452200,"Auckland.","Auckland"
"118",118,6454,"1/5/17","Common Assault","Appleby-Kew.",3115000,"Invercargill City.","Southland/ Otago"
"119",119,6456,"1/5/17","Serious Assault Not Resulting in Injury","Gate Pa.",1171700,"Tauranga City.","Bay Of Plenty"
"120",120,6461,"1/5/17","Serious Assault Not Resulting in Injury","Huntly East.",946700,"Waikato District.","Waikato"
"121",121,6466,"1/5/17","Serious Assault Not Resulting in Injury","Newton.",412301,"Auckland.","Auckland"
"122",122,6468,"1/5/17","Serious Assault Resulting in Injury","Rosehill.",804701,"Auckland.","Auckland"
"123",123,6473,"1/5/17","Serious Assault Resulting in Injury","Nelson Park.",1429700,"Napier City.","Hawkes Bay/ Gisborne"
"124",124,6478,"1/5/17","Serious Assault Resulting in Injury","Paremoremo East.",179600,"Auckland.","Auckland"
"125",125,6484,"1/5/17","Common Assault","Paihia.",54600,"Far North District.","Northland"
"126",126,6489,"1/5/17","Common Assault","New Plymouth Central.",1592700,"New Plymouth District.","West Coast/ Upper-Central North"
"127",127,6494,"1/5/17","Common Assault","Lynnmall.",265900,"Auckland.","Auckland"
"128",128,6499,"1/5/17","Common Assault","Papatoetoe North.",662400,"Auckland.","Auckland"
"129",129,6504,"1/5/17","Common Assault","Gisborne Central.",1371300,"Gisborne District.","Hawkes Bay/ Gisborne"
"130",130,6511,"1/5/17","Serious Assault Not Resulting in Injury","Grey Lynn East.",411600,"Auckland.","Auckland"
"131",131,6516,"1/5/17","Serious Assault Not Resulting in Injury","Huntly East.",942203,"Waikato District.","Waikato"
"132",132,6523,"1/5/17","Serious Assault Resulting in Injury","Motueka East.",2377800,"Tasman District.","Tasman/ South-West Coast"
"133",133,6528,"1/5/17","Serious Assault Resulting in Injury","Takanini North.",767003,"Auckland.","Auckland"
"134",134,6534,"1/5/17","Common Assault","Mangere South.",726400,"Auckland.","Auckland"
"135",135,6539,"1/5/17","Common Assault","Grafton East.",442400,"Auckland.","Auckland"
"136",136,6544,"1/5/17","Common Assault","Mangere South.",727700,"Auckland.","Auckland"
"137",137,6549,"1/5/17","Common Assault","Durie Hill.",1695900,"Wanganui District.","West Coast/ Upper-Central North"
"138",138,6551,"1/5/17","Serious Assault Not Resulting in Injury","Auckland Harbourside.",437903,"Auckland.","Auckland"
"139",139,6556,"1/5/17","Serious Assault Not Resulting in Injury","Wiri.",780800,"Auckland.","Auckland"
"140",140,6558,"1/5/17","Serious Assault Resulting in Injury","Otaua.",831800,"Waikato District.","Waikato"
"141",141,6563,"1/5/17","Serious Assault Resulting in Injury","Riverdale.",1376602,"Gisborne District.","Hawkes Bay/ Gisborne"
"142",142,6569,"1/5/17","Common Assault","Paparua.",2494600,"Christchurch City.","Canterbury"
"143",143,6574,"1/5/17","Common Assault","Harbourside.",2894500,"Dunedin City.","Southland/ Otago"
"144",144,6579,"1/5/17","Common Assault","Auckland Central East.",436500,"Auckland.","Auckland"
"145",145,6584,"1/5/17","Common Assault","Hagley Park.",2678500,"Christchurch City.","Canterbury"
"146",146,6589,"1/5/17","Common Assault","Hornby South.",2491900,"Christchurch City.","Canterbury"
"147",147,6596,"1/5/17","Serious Assault Not Resulting in Injury","Highbury.",1817300,"Palmerston North City.","West Coast/ Upper-Central North"
"148",148,6603,"1/5/17","Serious Assault Resulting in Injury","Hillpark.",757100,"Auckland.","Auckland"
"149",149,6609,"1/5/17","Common Assault","Grampians.",2324700,"Nelson City.","Tasman/ South-West Coast"
"150",150,6618,"1/5/17","Serious Assault Resulting in Injury","999999",-26,"Whangarei District.","Northland"
"151",151,6619,"1/5/17","Common Assault","Mt Maunganui North.",1195100,"Tauranga City.","Bay Of Plenty"
"152",152,6624,"1/5/17","Common Assault","Kaikohe.",42102,"Far North District.","Northland"
"153",153,6629,"1/5/17","Common Assault","Paparua.",2494600,"Christchurch City.","Canterbury"
"154",154,6634,"1/5/17","Common Assault","St Marys.",426101,"Auckland.","Auckland"
"155",155,6639,"1/5/17","Common Assault","Mairtown.",90800,"Whangarei District.","Northland"
"156",156,6644,"1/5/17","Common Assault","Starling Park.",235600,"Auckland.","Auckland"
"157",157,6646,"1/5/17","Serious Assault Not Resulting in Injury","Marotiri.",1292700,"Taupo District.","Waikato"
"158",158,6651,"1/5/17","Serious Assault Not Resulting in Injury","Tauranga Hospital.",1170400,"Tauranga City.","Bay Of Plenty"
"159",159,6658,"1/5/17","Serious Assault Resulting in Injury","Mangakakahi.",1225600,"Rotorua District.","Bay Of Plenty"
"160",160,6684,"1/4/17","Common Assault","Otara West.",699100,"Auckland.","Auckland"
"161",161,6689,"1/4/17","Common Assault","Trafalgar.",2320300,"Nelson City.","Tasman/ South-West Coast"
"162",162,6691,"1/4/17","Serious Assault Not Resulting in Injury","Glendene North.",274700,"Auckland.","Auckland"
"163",163,6696,"1/4/17","Serious Assault Not Resulting in Injury","Palmerston North Central.",1829600,"Palmerston North City.","West Coast/ Upper-Central North"
"164",164,6703,"1/4/17","Serious Assault Resulting in Injury","Palmerston North Central.",1829500,"Palmerston North City.","West Coast/ Upper-Central North"
"165",165,6709,"1/4/17","Common Assault","New Plymouth Central.",1591500,"New Plymouth District.","West Coast/ Upper-Central North"
"166",166,6714,"1/4/17","Common Assault","Henderson South.",242700,"Auckland.","Auckland"
"167",167,6719,"1/4/17","Common Assault","Hamilton Lake.",932100,"Hamilton City.","Waikato"
"168",168,6724,"1/4/17","Common Assault","Whataupoko.",1380800,"Gisborne District.","Hawkes Bay/ Gisborne"
"169",169,6731,"1/4/17","Serious Assault Not Resulting in Injury","Mclean Park.",1432000,"Napier City.","Hawkes Bay/ Gisborne"
"170",170,6736,"1/4/17","Serious Assault Not Resulting in Injury","Ranzau.",2357300,"Tasman District.","Tasman/ South-West Coast"
"171",171,6738,"1/4/17","Serious Assault Resulting in Injury","Parua Bay.",73704,"Whangarei District.","Northland"
"172",172,6743,"1/4/17","Serious Assault Resulting in Injury","Kawerau.",1318300,"Kawerau District.","Bay Of Plenty"
"173",173,6749,"1/4/17","Common Assault","Koutu.",1223600,"Rotorua District.","Bay Of Plenty"
"174",174,6754,"1/4/17","Common Assault","Auckland Central West.",433503,"Auckland.","Auckland"
"175",175,6759,"1/4/17","Common Assault","Mcleod.",258002,"Auckland.","Auckland"
"176",176,6764,"1/4/17","Common Assault","Toko.",1622300,"Stratford District.","West Coast/ Upper-Central North"
"177",177,6769,"1/4/17","Common Assault","Caledonian.",2932800,"Dunedin City.","Southland/ Otago"
"178",178,6774,"1/4/17","Common Assault","Mt Eden North.",542900,"Auckland.","Auckland"
"179",179,6781,"1/4/17","Serious Assault Not Resulting in Injury","Mt Wellington Domain.",628001,"Auckland.","Auckland"
"180",180,6786,"1/4/17","Serious Assault Not Resulting in Injury","Greymouth South.",2407200,"Grey District.","Tasman/ South-West Coast"
"181",181,6793,"1/4/17","Serious Assault Resulting in Injury","Ahuriri.",1418900,"Napier City.","Hawkes Bay/ Gisborne"
"182",182,6798,"1/4/17","Serious Assault Resulting in Injury","Wymondley.",696600,"Auckland.","Auckland"
"183",183,6804,"1/4/17","Common Assault","Auckland Harbourside.",437903,"Auckland.","Auckland"
"184",184,6809,"1/4/17","Common Assault","Auckland Central West.",434000,"Auckland.","Auckland"
"185",185,6814,"1/4/17","Common Assault","Berhampore West.",2171500,"Wellington City.","Wellington/ Lower-Central North"
"186",186,6819,"1/4/17","Common Assault","999999",-89,"Auckland.","Auckland"
"187",187,6824,"1/4/17","Common Assault","Otakaro Park.",3106100,"Invercargill City.","Southland/ Otago"
"188",188,6829,"1/4/17","Common Assault","Hastings Central.",1490100,"Hastings District.","Hawkes Bay/ Gisborne"
"189",189,6831,"1/4/17","Serious Assault Not Resulting in Injury","Maungawhau.",555100,"Auckland.","Auckland"
"190",190,6836,"1/4/17","Serious Assault Not Resulting in Injury","Grey Lynn East.",411600,"Auckland.","Auckland"
"191",191,6841,"1/4/17","Serious Assault Not Resulting in Injury","Kaiti South.",1384700,"Gisborne District.","Hawkes Bay/ Gisborne"
"192",192,6843,"1/4/17","Serious Assault Resulting in Injury","Mayfair.",1496800,"Hastings District.","Hawkes Bay/ Gisborne"
"193",193,6848,"1/4/17","Serious Assault Resulting in Injury","Maungaturoto.",131500,"Kaipara District.","Northland"
"194",194,6853,"1/4/17","Serious Assault Resulting in Injury","Porirua Central.",2052200,"Porirua City.","Wellington/ Lower-Central North"
"195",195,6859,"1/4/17","Common Assault","Broads.",2328900,"Nelson City.","Tasman/ South-West Coast"
"196",196,6864,"1/4/17","Common Assault","Clarkin.",871300,"Hamilton City.","Waikato"
"197",197,6869,"1/4/17","Common Assault","Trafalgar.",2320300,"Nelson City.","Tasman/ South-West Coast"
"198",198,6876,"1/4/17","Serious Assault Not Resulting in Injury","Favona South.",731000,"Auckland.","Auckland"
"199",199,6881,"1/4/17","Serious Assault Not Resulting in Injury","Royal Heights.",225806,"Auckland.","Auckland"
"200",200,6883,"1/4/17","Serious Assault Resulting in Injury","Hamilton Lake.",931900,"Hamilton City.","Waikato"
"201",201,6888,"1/4/17","Serious Assault Resulting in Injury","Holborn.",1931600,"Lower Hutt City.","Wellington/ Lower-Central North"
"202",202,6893,"1/4/17","Serious Assault Resulting in Injury","Otahuhu North.",787500,"Auckland.","Auckland"
"203",203,6894,"1/4/17","Common Assault","St Albans East.",2687000,"Christchurch City.","Canterbury"
"204",204,6899,"1/4/17","Common Assault","Cathedral Square.",2649800,"Christchurch City.","Canterbury"
"205",205,6904,"1/4/17","Common Assault","Richmond East.",2361600,"Tasman District.","Tasman/ South-West Coast"
"206",206,6909,"1/4/17","Common Assault","Waimataitai.",2782000,"Timaru District.","Canterbury"
"207",207,6916,"1/4/17","Serious Assault Not Resulting in Injury","Mellons Bay.",651202,"Auckland.","Auckland"
"208",208,6923,"1/4/17","Serious Assault Resulting in Injury","Edmonton.",255600,"Auckland.","Auckland"
"209",209,6929,"1/4/17","Common Assault","Waimataitai.",2782000,"Timaru District.","Canterbury"
"210",210,6931,"1/4/17","Serious Assault Not Resulting in Injury","Cathedral Square.",2652000,"Christchurch City.","Canterbury"
"211",211,6933,"1/4/17","Serious Assault Resulting in Injury","Porritt.",875600,"Hamilton City.","Waikato"
"212",212,6934,"1/4/17","Common Assault","Auckland Central West.",433501,"Auckland.","Auckland"
"213",213,6939,"1/4/17","Common Assault","Kaiti South.",1386600,"Gisborne District.","Hawkes Bay/ Gisborne"
"214",214,6944,"1/4/17","Common Assault","Linwood.",2609400,"Christchurch City.","Canterbury"
"215",215,6949,"1/4/17","Common Assault","Kaikohe.",42500,"Far North District.","Northland"
"216",216,6951,"1/4/17","Serious Assault Not Resulting in Injury","Pukekohe North.",818700,"Auckland.","Auckland"
"217",217,6958,"1/4/17","Serious Assault Resulting in Injury","Ngaruawahia.",856500,"Waikato District.","Waikato"
"218",218,7000,"1/4/17","Aggravated Sexual Assault","Raumati Beach.",2005501,"Kapiti Coast District.","Wellington/ Lower-Central North"
"219",219,7005,"1/4/17","Aggravated Sexual Assault","Ormiston.",712401,"Auckland.","Auckland"
"220",220,7010,"1/4/17","Aggravated Sexual Assault","Auckland Central West.",434000,"Auckland.","Auckland"
"221",221,7313,"1/8/17","Serious Assault Resulting in Injury","St Leonards.",1486600,"Hastings District.","Hawkes Bay/ Gisborne"
"222",222,7319,"1/8/17","Common Assault","Springdale.",1093600,"Matamata-Piako District.","Waikato"
"223",223,7321,"1/8/17","Serious Assault Not Resulting in Injury","Highfield.",2788000,"Timaru District.","Canterbury"
"224",224,7323,"1/8/17","Serious Assault Resulting in Injury","Glenfield North.",196700,"Auckland.","Auckland"
"225",225,7324,"1/8/17","Common Assault","Pukekohe West.",821600,"Auckland.","Auckland"
"226",226,7329,"1/8/17","Common Assault","Kilbirnie East.",2176800,"Wellington City.","Wellington/ Lower-Central North"
"227",227,7334,"1/8/17","Common Assault","Tamatea South.",1454500,"Napier City.","Hawkes Bay/ Gisborne"
"228",228,7336,"1/8/17","Serious Assault Not Resulting in Injury","Taneatua.",1304200,"Whakatane District.","Bay Of Plenty"
"229",229,7343,"1/8/17","Serious Assault Resulting in Injury","Hastings Central.",1490200,"Hastings District.","Hawkes Bay/ Gisborne"
"230",230,7349,"1/8/17","Common Assault","Palmerston North Central.",1829700,"Palmerston North City.","West Coast/ Upper-Central North"
"231",231,7354,"1/8/17","Common Assault","Te Awamutu East.",968800,"Waipa District.","Waikato"
"232",232,7363,"1/8/17","Serious Assault Resulting in Injury","Palmerston North Central.",1829200,"Palmerston North City.","West Coast/ Upper-Central North"
"233",233,7369,"1/8/17","Common Assault","Manly.",174221,"Auckland.","Auckland"
"234",234,7374,"1/8/17","Common Assault","Gisborne Central.",1372800,"Gisborne District.","Hawkes Bay/ Gisborne"
"235",235,7379,"1/8/17","Common Assault","Willis Street-Cambridge Terrace.",2130800,"Wellington City.","Wellington/ Lower-Central North"
"236",236,7389,"1/8/17","Common Assault","Wilford.",2031600,"Lower Hutt City.","Wellington/ Lower-Central North"
"237",237,7394,"1/8/17","Common Assault","Opunake.",1632701,"South Taranaki District.","West Coast/ Upper-Central North"
"238",238,7442,"1/8/17","Non-Aggravated Sexual Assault","Mt Wellington South.",637500,"Auckland.","Auckland"
"239",239,7445,"1/8/17","Aggravated Sexual Assault","Kamo East.",83801,"Whangarei District.","Northland"
"240",240,7450,"1/8/17","Aggravated Sexual Assault","Rangiora East.",2445600,"Waimakariri District.","Canterbury"
"241",241,7452,"1/8/17","Non-Aggravated Sexual Assault","Mona Vale.",2470300,"Christchurch City.","Canterbury"
"242",242,9029,"1/7/17","Common Assault","Ellerslie North.",610900,"Auckland.","Auckland"
"243",243,9036,"1/7/17","Serious Assault Not Resulting in Injury","Glenfield North.",196802,"Auckland.","Auckland"
"244",244,9041,"1/7/17","Serious Assault Not Resulting in Injury","Pongakawa.",1212202,"Western Bay of Plenty District.","Bay Of Plenty"
"245",245,9044,"1/7/17","Common Assault","Titahi Bay North.",2042400,"Porirua City.","Wellington/ Lower-Central North"
"246",246,9051,"1/7/17","Serious Assault Not Resulting in Injury","Arahanga.",737600,"Auckland.","Auckland"
"247",247,9054,"1/7/17","Common Assault","Tikipunga West.",61806,"Whangarei District.","Northland"
"248",248,9059,"1/7/17","Common Assault","Paremata-Postgate.",2070000,"Porirua City.","Wellington/ Lower-Central North"
"249",249,9064,"1/7/17","Common Assault","South Dunedin.",2929400,"Dunedin City.","Southland/ Otago"
"250",250,9066,"1/7/17","Serious Assault Not Resulting in Injury","Acacia Bay.",1279502,"Taupo District.","Waikato"
"251",251,9071,"1/7/17","Serious Assault Not Resulting in Injury","Greenmeadows.",1448105,"Napier City.","Hawkes Bay/ Gisborne"
"252",252,9076,"1/7/17","Serious Assault Not Resulting in Injury","Morningside.",109103,"Whangarei District.","Northland"
"253",253,9079,"1/7/17","Common Assault","Mona Vale.",2469900,"Christchurch City.","Canterbury"
"254",254,9084,"1/7/17","Common Assault","Shirley East.",2598900,"Christchurch City.","Canterbury"
"255",255,9091,"1/7/17","Serious Assault Not Resulting in Injury","Kuirau.",1235100,"Rotorua District.","Bay Of Plenty"
