iter	Passed	Remaining
403	11534	17016
404	11562	16986
405	11590	16958
406	11619	16929
407	11647	16899
408	11675	16871
409	11703	16841
410	11731	16812
411	11759	16783
412	11787	16753
413	11815	16723
414	11843	16694
415	11871	16665
416	11899	16636
417	11928	16608
418	11956	16578
419	11984	16549
420	12012	16520
421	12040	16491
422	12068	16462
423	12096	16432
424	12124	16403
425	12152	16373
426	12182	16348
427	12211	16320
428	12240	16291
429	12268	16262
430	12296	16233
431	12325	16205
432	12353	16176
433	12382	16148
434	12410	16119
435	12438	16089
436	12466	16061
437	12494	16032
438	12522	16002
439	12551	15974
440	12579	15945
441	12607	15916
442	12635	15887
443	12663	15857
444	12691	15829
445	12719	15799
446	12747	15770
447	12776	15742
448	12804	15713
449	12832	15684
450	12860	15655
451	12889	15626
452	12917	15597
453	12945	15569
454	12974	15540
455	13002	15512
456	13030	15482
457	13060	15455
458	13088	15426
459	13116	15397
460	13144	15368
461	13173	15340
462	13201	15311
463	13229	15282
464	13258	15254
465	13287	15226
466	13315	15196
467	13343	15167
468	13370	15138
469	13399	15109
470	13427	15081
471	13455	15052
472	13483	15023
473	13511	14994
474	13540	14965
475	13569	14937
476	13597	14908
477	13625	14879
478	13652	14850
479	13681	14821
480	13709	14792
481	13737	14763
482	13765	14734
483	13793	14705
484	13821	14676
485	13849	14647
486	13877	14618
487	13905	14589
488	13934	14561
489	13962	14532
490	13991	14504
491	14019	14474
492	14050	14449
493	14079	14421
494	14107	14392
495	14134	14362
496	14163	14334
497	14192	14306
498	14221	14278
499	14254	14254
500	14282	14225
501	14322	14208
502	14351	14180
503	14379	14151
504	14408	14122
505	14440	14097
506	14468	14069
507	14497	14040
508	14525	14011
509	14553	13982
510	14581	13953
511	14610	13925
512	14638	13896
513	14666	13867
514	14694	13838
515	14722	13809
516	14750	13780
517	14779	13752
518	14807	13723
519	14835	13694
520	14864	13665
521	14892	13637
522	14920	13608
523	14949	13579
524	14977	13551
525	15006	13522
526	15034	13493
527	15062	13464
528	15090	13436
529	15119	13407
530	15148	13379
531	15176	13350
532	15204	13321
533	15233	13293
534	15262	13265
535	15291	13237
536	15319	13208
537	15347	13179
538	15376	13151
539	15404	13122
540	15433	13093
541	15461	13065
542	15490	13037
543	15518	13008
544	15546	12979
545	15575	12950
546	15603	12921
547	15631	12893
548	15659	12864
549	15687	12835
550	15715	12806
551	15743	12777
552	15772	12748
553	15800	12720
554	15828	12691
555	15857	12662
556	15885	12633
557	15913	12605
558	15941	12576
559	15970	12548
560	15999	12519
561	16027	12491
562	16055	12462
563	16083	12433
564	16111	12404
565	16141	12376
566	16169	12348
567	16197	12319
568	16226	12291
569	16255	12262
570	16283	12234
571	16312	12206
572	16341	12177
573	16369	12149
574	16398	12120
575	16426	12092
576	16455	12063
577	16483	12034
578	16511	12005
579	16540	11977
580	16568	11948
581	16598	11920
582	16626	11892
583	16655	11864
584	16684	11836
585	16713	11807
586	16742	11779
587	16771	11751
588	16800	11723
589	16829	11695
590	16858	11666
591	16887	11638
592	16916	11610
593	16945	11582
594	16974	11553
595	17003	11525
596	17031	11497
597	17061	11469
598	17090	11441
599	17119	11412
600	17148	11384
