Date,Commercial Electricity,Commercial LPG,Commercial Natural Gas,Commercial Petrol (Bulk),Commercial Diesel (Bulk),Household Electricity,Household Firewood,Household Gas,Household Petrol,Household Alternative Motor Fuels
2007Q4,1226,1683,1897,1989,2471,1647,1447,2017,1807,2302
2008Q1,1365,2004,1926,2067,2644,1660,1447,2132,1879,2438
2008Q2,1866,2058,1907,2294,3288,1721,1447,2177,2119,3144
2008Q3,1766,2253,1894,2420,3512,1738,1469,2243,2216,3305
2008Q4,1562,2371,1978,1962,2623,1773,1469,2252,1720,2416
2009Q1,1332,2256,2002,1885,2136,1783,1469,2229,1705,1952
2009Q2,1601,2233,1986,1952,2158,1813,1513,2242,1759,1939
2009Q3,1636,2210,1925,1979,2215,1817,1521,2257,1795,2021
2009Q4,1462,2213,1905,1971,2182,1812,1521,2282,1778,2010
2010Q1,1472,2242,1957,2094,2318,1813,1521,2324,1901,2147
2010Q2,1574,2297,1915,2121,2442,1832,1539,2332,1926,2266
2010Q3,1570,2279,1843,2074,2315,1883,1555,2350,1901,2269
2010Q4,1419,2202,1900,2122,2343,1915,1555,2395,2029,2423
2011Q1,1452,2257,1959,2301,2703,1923,1555,2449,2225,2792
2011Q2,1477,2284,1903,2334,2890,1976,1589,2446,2314,3017
2011Q3,1598,2243,1897,2245,2603,1970,1611,2423,2236,2784
2011Q4,1475,2178,1845,2364,2928,1961,1611,2426,2256,2948
2012Q1,1544,2385,1868,2406,2990,1962,1611,2438,2309,2954
2012Q2,1775,2309,1849,2414,2931,2049,1640,2427,2317,2906
2012Q3,1713,2199,1808,2398,2920,2058,1650,2417,2295,2896
2012Q4,1442,2421,1858,2367,2889,2061,1650,2453,2278,2913
2013Q1,1598,2530,1870,2428,2908,2064,1650,2429,2312,2869
2013Q2,1767,2428,1859,2376,2775,2119,1654,2438,2254,2743
2013Q3,1661,2503,1862,2489,2985,2131,1618,2433,2380,2924
2013Q4,1421,2496,1688,2367,2889,2124,1618,2400,2298,2892
2014Q1,1537,2471,1691,2421,2855,2125,1618,2480,2320,2838
2014Q2,1742,2520,1691,2400,2799,2214,1656,2475,2316,2800
2014Q3,1659,2500,1708,2429,2772,2209,1731,2476,2338,2783
2014Q4,1463,2473,1748,2274,2548,2199,1731,2480,2206,2570
2015Q1,1493,2493,1678,2020,2105,2200,1731,2465,1972,2133
2015Q2,1670,2475,1678,2219,2326,2214,1749,2454,2145,2362
2015Q3,1680,2345,1676,2247,2271,2213,1722,2457,2180,2307
2015Q4,1453,2468,1713,2094,2104,2208,1722,2495,2027,2103
2016Q1,1516,2389,1781,1958,1750,2213,1722,2495,1870,1729
2016Q2,1619,2376,1715,2038,1998,2252,1811,2556,1970,1960
2016Q3,1609,2415,1747,1945,1956,2262,1828,2558,1937,1996
2016Q4,1406,2406,1743,2056,2122,2258,1828,2574,2016,2165
