Year,Round,Date,HomeTeam,HomeScore,AwayScore,AwayTeam,Venue
2011,3,Thursday 7 April,Canterbury Tactix,45,58,Northern Mystics,"Vector Arena, Auckland"
2011,3,Monday 28 February,Central Pulse,44,46,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington"
2011,3,Monday 28 February,West Coast Fever,38,62,Queensland Firebirds,"Challenge Stadium, Perth"
2011,4,Saturday 5 March,Adelaide Thunderbirds,51,41,Central Pulse,"ETSA Park, Adelaide"
2011,4,Sunday 6 March,Queensland Firebirds,51,36,Southern Steel,Brisbane Convention and Exhibition Centre
2011,4,Sunday 6 March,Northern Mystics,56,54,Melbourne Vixens,"Trusts Stadium, Auckland"
2011,4,Monday 7 March,Canterbury Tactix,56,63,Waikato Bay of Plenty Magic,"Energy Events Centre, Rotorua*"
2011,4,Monday 7 March,New South Wales Swifts,55,51,West Coast Fever,"State Sports Centre, Sydney"
2011,5,Sunday 13 March,Adelaide Thunderbirds,42,64,Queensland Firebirds,"ETSA Park, Adelaide"
2011,5,Sunday 13 March,Waikato Bay of Plenty Magic,46,47,Northern Mystics,"Mystery Creek Events Centre, Hamilton"
2011,5,Monday 14 March,Southern Steel,50,44,Central Pulse,Invercargill ILT Velodrome
2011,5,Monday 14 March,New South Wales Swifts,54,45,Canterbury Tactix,"State Sports Centre, Sydney"
2011,6,Thursday 17 March,West Coast Fever,49,70,New South Wales Swifts,"Challenge Stadium, Perth"
2011,6,Saturday 19 March,West Coast Fever,50,47,Southern Steel,"Challenge Stadium, Perth"
2011,6,Sunday 20 March,New South Wales Swifts,53,57,Queensland Firebirds,"State Sports Centre, Sydney"
2011,6,Sunday 20 March,Central Pulse,46,43,Canterbury Tactix,"Arena Manawatu, Palmerston North"
2011,6,Monday 21 March,Waikato Bay of Plenty Magic,53,41,Melbourne Vixens,"Mystery Creek Events Centre, Hamilton"
2011,6,Monday 21 March,Adelaide Thunderbirds,57,55,Northern Mystics,"ETSA Park, Adelaide"
2011,7,Saturday 26 March,Northern Mystics,52,61,Queensland Firebirds,"Trusts Stadium, Auckland"
2011,7,Sunday 27 March,Melbourne Vixens,65,50,Canterbury Tactix,"Hisense Arena, Melbourne"
2011,7,Sunday 27 March,Central Pulse,43,48,New South Wales Swifts,"TSB Bank Arena, Wellington"
2011,7,Monday 28 March,Southern Steel,52,48,Adelaide Thunderbirds,Invercargill ILT Velodrome
2011,7,Monday 28 March,West Coast Fever,41,42,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth"
2011,8,Thursday 31 March,Canterbury Tactix,49,44,Southern Steel,"CBS Canterbury Arena, Christchurch"
2011,8,Thursday 31 March,Melbourne Vixens,42,52,Queensland Firebirds,"State Netball and Hockey Centre,Melbourne"
2011,8,Saturday 2 April,Northern Mystics,61,48,Central Pulse,"Trusts Stadium, Auckland"
2011,8,Sunday 3 April,Melbourne Vixens,42,33,Southern Steel,"Hisense Arena, Melbourne"
2011,8,Sunday 3 April,Canterbury Tactix,56,59,Adelaide Thunderbirds,"CBS Canterbury Arena, Christchurch"
2011,8,Monday 4 April,Central Pulse,63,61,West Coast Fever,"Te Rauparaha Arena, Porirua"
2011,8,Monday 4 April,Queensland Firebirds,53,49,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre
2011,9,Saturday 9 April,Southern Steel,49,40,Canterbury Tactix,"Edgar Centre, Dunedin"
2011,9,Sunday 10 April,Melbourne Vixens,55,53,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
2011,9,Sunday 10 April,Central Pulse,44,61,Queensland Firebirds,"Te Rauparaha Arena, Porirua"
2011,9,Monday 11 April,Waikato Bay of Plenty Magic,46,53,New South Wales Swifts,"Queen Elizabeth Youth Centre, Tauranga"
2011,9,Monday 11 April,West Coast Fever,54,56,Northern Mystics,"Challenge Stadium, Perth"
2011,10,Thursday 14 April,Waikato Bay of Plenty Magic,53,49,Canterbury Tactix,"Energy Events Centre, Rotorua"
2011,10,Thursday 14 April,Queensland Firebirds,57,36,Melbourne Vixens,Brisbane Convention and Exhibition Centre
2011,10,Saturday 16 April,Adelaide Thunderbirds,57,53,New South Wales Swifts,"ETSA Park, Adelaide"
2011,10,Sunday 17 April,West Coast Fever,38,54,Melbourne Vixens,"Challenge Stadium, Perth"
2011,10,Sunday 17 April,Southern Steel,33,38,Waikato Bay of Plenty Magic,Invercargill ILT Velodrome
2011,10,Monday 18 April,Canterbury Tactix,45,47,Central Pulse,"CBS Canterbury Arena, Christchurch"
2011,10,Monday 18 April,New South Wales Swifts,53,46,Northern Mystics,"State Sports Centre, Sydney"
2011,11,Thursday 21 April,Southern Steel,39,40,New South Wales Swifts,"Edgar Centre, Dunedin"
2011,11,Saturday 23 April,Melbourne Vixens,58,42,Central Pulse,"Hisense Arena, Melbourne"
2011,11,Sunday 24 April,Adelaide Thunderbirds,36,55,Waikato Bay of Plenty Magic,"ETSA Park, Adelaide"
2011,11,Sunday 24 April,Northern Mystics,62,43,Canterbury Tactix,"Trusts Stadium, Auckland"
2011,11,Monday 25 April,Queensland Firebirds,56,54,West Coast Fever,Brisbane Convention and Exhibition Centre
2011,12,Saturday 30 April,Canterbury Tactix,52,69,Queensland Firebirds,"CBS Canterbury Arena, Christchurch"
2011,12,Sunday 1 May,Melbourne Vixens,33,45,New South Wales Swifts,"Hisense Arena, Melbourne"
2011,12,Sunday 1 May,Southern Steel,35,47,Northern Mystics,Invercargill ILT Velodrome
2011,12,Monday 2 May,Waikato Bay of Plenty Magic,60,50,Central Pulse,Taupo Events Centre
2011,12,Monday 2 May,Adelaide Thunderbirds,59,64,West Coast Fever,"ETSA Park, Adelaide"
2012,1,Saturday 31 March,Adelaide Thunderbirds,57,40,New South Wales Swifts,"Netball SA Stadium, Adelaide"
2012,1,Sunday 1 April,Queensland Firebirds,42,47,Melbourne Vixens,Brisbane Convention and Exhibition Centre
2012,1,Sunday 1 April,Northern Mystics,51,47,Central Pulse,"Trusts Stadium, Auckland"
2012,1,Monday 2 April,Southern Steel,49,47,Waikato Bay of Plenty Magic,"Stadium Southland Velodrome,Invercargill"
2012,1,Monday 2 April,West Coast Fever,55,35,Canterbury Tactix,"Challenge Stadium, Perth"
2012,2,Saturday 7 April,Central Pulse,47,42,Southern Steel,"Pettigrew Green Arena, Napier"
2012,2,Sunday 8 April,Queensland Firebirds,44,54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
2012,2,Sunday 8 April,West Coast Fever,41,50,Melbourne Vixens,"Challenge Stadium, Perth"
2012,2,Sunday 8 April,Waikato Bay of Plenty Magic,41,47,Northern Mystics,"Claudelands Arena, Hamilton"
2012,2,Monday 9 April,Canterbury Tactix,54,51,New South Wales Swifts,"CBS Canterbury Arena, Christchurch"
2012,3,Sunday 15 April,Queensland Firebirds,58,32,Central Pulse,Brisbane Convention and Exhibition Centre
2012,3,Sunday 15 April,Adelaide Thunderbirds,34,48,Melbourne Vixens,"Netball SA Stadium, Adelaide"
2012,3,Sunday 15 April,Canterbury Tactix,53,55,Southern Steel,"CBS Canterbury Arena, Christchurch"
2012,3,Monday 16 April,Northern Mystics,52,45,West Coast Fever,"Trusts Stadium, Auckland"
2012,3,Monday 16 April,New South Wales Swifts,49,47,Waikato Bay of Plenty Magic,"State Sports Centre, Sydney"
2012,4,Saturday 21 April,Southern Steel,53,56,West Coast Fever,"Lion Foundation Arena, Dunedin"
2012,4,Sunday 22 April,Melbourne Vixens,40,39,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
2012,4,Sunday 22 April,New South Wales Swifts,54,49,Queensland Firebirds,"State Sports Centre, Sydney"
2012,4,Sunday 22 April,Northern Mystics,48,50,Adelaide Thunderbirds,"Trusts Stadium, Auckland"
2012,4,Monday 23 April,Central Pulse,50,45,Canterbury Tactix,"Te Rauparaha Arena, Porirua"
2012,5,Sunday 29 April,West Coast Fever,36,48,Adelaide Thunderbirds,"Challenge Stadium, Perth"
2012,5,Sunday 29 April,Melbourne Vixens,52,51,Queensland Firebirds,"Hisense Arena, Melbourne"
2012,5,Sunday 29 April,Central Pulse,47,51,Northern Mystics,"Arena Manawatu, Palmerston North"
2012,5,Monday 30 April,Waikato Bay of Plenty Magic,61,52,Canterbury Tactix,"Energy Events Centre, Rotorua"
2012,5,BYES:  New South Wales Swifts and Southern Steel,,,,,
2012,6,Sunday 6 May,New South Wales Swifts,39,36,Central Pulse,"State Sports Centre, Sydney"
2012,6,Sunday 6 May,Queensland Firebirds,56,43,Northern Mystics,Gold Coast Convention and Exhibition Centre
2012,6,Sunday 6 May,Waikato Bay of Plenty Magic,65,49,West Coast Fever,"TECT Arena, Tauranga"
2012,6,Monday 7 May,Canterbury Tactix,41,65,Melbourne Vixens,"CBS Canterbury Arena, Christchurch"
2012,6,Monday 7 May,Adelaide Thunderbirds,58,48,Southern Steel,"Netball SA Stadium, Adelaide"
2012,7,Sunday 13 May,Adelaide Thunderbirds,60,43,West Coast Fever,"Netball SA Stadium, Adelaide"
2012,7,Sunday 13 May,New South Wales Swifts,55,52,Melbourne Vixens,"Allphones Arena, Sydney"
2012,7,Sunday 13 May,Southern Steel,45,49,Northern Mystics,"Lion Foundation Arena, Dunedin"
2012,7,Monday 14 May,Central Pulse,46,56,Waikato Bay of Plenty Magic,"Te Rauparaha Arena, Porirua"
2012,7,Monday 14 May,Queensland Firebirds,64,48,Canterbury Tactix,Brisbane Convention and Exhibition Centre
2012,8,Saturday 19 May,Canterbury Tactix,42,65,Waikato Bay of Plenty Magic,"CBS Canterbury Arena, Christchurch"
2012,8,Sunday 20 May,Melbourne Vixens,45,49,Northern Mystics,"Hisense Arena, Melbourne"
2012,8,Sunday 20 May,New South Wales Swifts,52,47,West Coast Fever,Newcastle Entertainment Centre
2012,8,Sunday 20 May,Southern Steel,60,61,Queensland Firebirds,"Stadium Southland Velodrome,Invercargill"
2012,8,Monday 21 May,Central Pulse,47,46,Adelaide Thunderbirds,"TSB Bank Arena, Wellington"
2012,9,Sunday 27 May,West Coast Fever,55,56,Queensland Firebirds,"Challenge Stadium, Perth"
2012,9,Sunday 27 May,Melbourne Vixens,43,49,New South Wales Swifts,"Hisense Arena, Melbourne"
2012,9,Sunday 27 May,Northern Mystics,57,56,Canterbury Tactix,"Trusts Stadium, Auckland"
2012,9,Monday 28 May,Southern Steel,50,58,Central Pulse,"Lion Foundation Arena, Dunedin"
2012,9,BYES:  Adelaide Thunderbirds and Waikato Bay of Plenty Magic,,,,,
2012,10,Sunday 3 June,Queensland Firebirds,50,45,New South Wales Swifts,Brisbane Convention and Exhibition Centre
2012,10,Sunday 3 June,Melbourne Vixens,48,40,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
2012,10,Sunday 3 June,Canterbury Tactix,47,54,Central Pulse,"CBS Canterbury Arena, Christchurch"
2012,10,Monday 4 June,Waikato Bay of Plenty Magic,66,47,Southern Steel,"Claudelands Arena, Hamilton"
2012,10,BYES:  West Coast Fever and Northern Mystics,,,,,
2012,11,Sunday 10 June,Adelaide Thunderbirds,54,49,Queensland Firebirds,"Netball SA Stadium, Adelaide"
2012,11,Sunday 10 June,West Coast Fever,49,51,New South Wales Swifts,"Challenge Stadium, Perth"
2012,11,Sunday 10 June,Waikato Bay of Plenty Magic,52,42,Central Pulse,"TECT Arena, Tauranga"
2012,11,Monday 11 June,Northern Mystics,60,49,Southern Steel,"Trusts Stadium, Auckland"
2012,11,BYES:  Melbourne Vixens and Canterbury Tactix,,,,,
2012,12,Sunday 17 June,Melbourne Vixens,50,49,West Coast Fever,"Hisense Arena, Melbourne"
2012,12,Sunday 17 June,New South Wales Swifts,35,62,Adelaide Thunderbirds,"State Sports Centre, Sydney"
2012,12,Sunday 17 June,Northern Mystics,46,48,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
2012,12,Monday 18 June,Southern Steel,61,62,Canterbury Tactix,Invercargill ILT Velodrome
2012,12,BYES:  Queensland Firebirds and Central Pulse,,,,,
2012,13,Saturday 23 June,Waikato Bay of Plenty Magic,59,42,Adelaide Thunderbirds,"TECT Arena, Tauranga"
2012,13,Sunday 24 June,New South Wales Swifts,55,42,Southern Steel,"State Sports Centre, Sydney"
2012,13,Sunday 24 June,Queensland Firebirds,63,43,West Coast Fever,Brisbane Convention and Exhibition Centre
2012,13,Sunday 24 June,Canterbury Tactix,55,64,Northern Mystics,"CBS Canterbury Arena, Christchurch"
2012,13,Monday 25 June,Central Pulse,41,49,Melbourne Vixens,"Te Rauparaha, Porirua"
2012,14,Saturday 30 June,Southern Steel,38,56,Melbourne Vixens,Invercargill ILT Velodrome
2012,14,Sunday 1 July,Adelaide Thunderbirds,65,44,Canterbury Tactix,"Netball SA Stadium, Adelaide"
2012,14,Sunday 1 July,West Coast Fever,40,38,Central Pulse,"Challenge Stadium, Perth"
2012,14,Sunday 1 July,Northern Mystics,50,49,New South Wales Swifts,"Trusts Stadium, Auckland"
2012,14,Monday 2 July,Waikato Bay of Plenty Magic,53,43,Queensland Firebirds,"Claudelands Arena, Hamilton"
2013,1,Sunday 24 March,Queensland Firebirds,68,59,Southern Steel,Brisbane Convention and Exhibition Centre
2013,1,Sunday 24 March,Adelaide Thunderbirds,49,42,Central Pulse,"Netball SA Stadium, Adelaide"
2013,1,Sunday 24 March,Canterbury Tactix,46,69,Waikato Bay of Plenty Magic,"Trafalgar Centre, Nelson"
2013,1,Monday 25 March,Northern Mystics,46,60,Melbourne Vixens,"Trusts Stadium, Auckland"
2013,1,Monday 25 March,New South Wales Swifts,55,41,West Coast Fever,"State Sports Centre, Sydney"
2013,2,Saturday 30 March,Canterbury Tactix,56,75,Southern Steel,"CBS Canterbury Arena, Christchurch"
2013,2,Sunday 31 March,Melbourne Vixens,58,44,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
2013,2,Sunday 31 March,West Coast Fever,80,53,Northern Mystics,"Challenge Stadium, Perth"
2013,2,Sunday 31 March,Waikato Bay of Plenty Magic,61,35,New South Wales Swifts,"ASB Baypark Arena, Tauranga"
2013,2,Monday 1 April,Central Pulse,56,58,Queensland Firebirds,"Te Rauparaha Arena, Porirua"
2013,3,Saturday 6 April,Southern Steel,54,60,Adelaide Thunderbirds,"Lion Foundation Arena, Dunedin"
2013,3,Sunday 7 April,West Coast Fever,57,51,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth"
2013,3,Sunday 7 April,Northern Mystics,51,72,Queensland Firebirds,"Trusts Stadium, Auckland"
2013,3,Monday 8 April,Central Pulse,55,49,New South Wales Swifts,"TSB Bank Arena, Wellington"
2013,3,Monday 8 April,Melbourne Vixens,60,40,Canterbury Tactix,"Hisense Arena, Melbourne"
2013,4,Sunday 14 April,Adelaide Thunderbirds,72,46,West Coast Fever,"Netball SA Stadium, Adelaide"
2013,4,Sunday 14 April,Central Pulse,59,56,Southern Steel,"Arena Manawatu, Palmerston North"
2013,4,Monday 15 April,Canterbury Tactix,80,78,Northern Mystics,"CBS Canterbury Arena, Christchurch"
2013,4,Monday 15 April,New South Wales Swifts,53,61,Queensland Firebirds,Sydney Olympic Park Sports Centre
2013,4,BYES:  Melbourne Vixens and Waikato Bay of Plenty Magic,,,,,
2013,5,Sunday 21 April,Adelaide Thunderbirds,39,38,Melbourne Vixens,"Netball SA Stadium, Adelaide"
2013,5,Sunday 21 April,West Coast Fever,71,51,New South Wales Swifts,"Challenge Stadium, Perth"
2013,5,Sunday 21 April,Northern Mystics,69,68,Central Pulse,"Trusts Stadium, Auckland"
2013,5,Monday 22 April,Waikato Bay of Plenty Magic,65,45,Canterbury Tactix,"ASB Baypark Arena, Tauranga"
2013,5,BYES:  Queensland Firebirds and Southern Steel,,,,,
2013,6,Saturday 27 April,West Coast Fever,49,58,Melbourne Vixens,"Perth Arena, Perth"
2013,6,Sunday 28 April,Queensland Firebirds,53,54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
2013,6,Sunday 28 April,Central Pulse,53,52,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington"
2013,6,Monday 29 April,Southern Steel,67,52,Northern Mystics,"Stadium Southland Velodrome,Invercargill"
2013,6,BYES:  New South Wales Swifts and Canterbury Tactix,,,,,
2013,7,Sunday 5 May,Queensland Firebirds,63,54,West Coast Fever,Brisbane Convention and Exhibition Centre
2013,7,Sunday 5 May,Melbourne Vixens,52,30,Central Pulse,"Hisense Arena, Melbourne"
2013,7,Sunday 5 May,Northern Mystics,57,61,Canterbury Tactix,"Trusts Stadium, Auckland"
2013,7,Monday 6 May,Southern Steel,60,55,New South Wales Swifts,"Stadium Southland Velodrome,Invercargill"
2013,7,Monday 6 May,Adelaide Thunderbirds,45,33,Waikato Bay of Plenty Magic,"Netball SA Stadium, Adelaide"
2013,8,Saturday 11 May,Canterbury Tactix,51,76,Queensland Firebirds,"CBS Canterbury Arena, Christchurch"
2013,8,Sunday 12 May,New South Wales Swifts,42,50,Melbourne Vixens,Sydney Olympic Park Sports Centre
2013,8,Sunday 12 May,West Coast Fever,47,49,Adelaide Thunderbirds,"Challenge Stadium, Perth"
2013,8,Sunday 12 May,Northern Mystics,63,73,Southern Steel,"Trusts Stadium, Auckland"
2013,8,Monday 13 May,Waikato Bay of Plenty Magic,53,49,Central Pulse,"Claudelands Arena, Hamilton"
2013,9,Saturday 18 May,Southern Steel,65,58,Waikato Bay of Plenty Magic,"Stadium Southland Velodrome,Invercargill"
2013,9,Sunday 19 May,Melbourne Vixens,46,57,Queensland Firebirds,"Hisense Arena, Melbourne"
2013,9,Sunday 19 May,Adelaide Thunderbirds,50,48,New South Wales Swifts,"Netball SA Stadium, Adelaide"
2013,9,Sunday 19 May,Canterbury Tactix,55,64,West Coast Fever,"Trafalgar Centre, Nelson"
2013,9,Monday 20 May,Central Pulse,63,48,Northern Mystics,"Te Rauparaha Arena, Porirua"
2013,10,Sunday 26 May,New South Wales Swifts,63,44,Northern Mystics,Sydney Olympic Park Sports Centre
2013,10,Sunday 26 May,Queensland Firebirds,62,65,Waikato Bay of Plenty Magic,Gold Coast Convention and Exhibition Centre
2013,10,Sunday 26 May,Central Pulse,53,52,West Coast Fever,"TSB Bank Arena, Wellington"
2013,10,Monday 27 May,Canterbury Tactix,58,62,Adelaide Thunderbirds,"Lion Foundation Arena, Dunedin"
2013,10,Monday 27 May,Melbourne Vixens,58,52,Southern Steel,"Hisense Arena, Melbourne"
2013,11,Sunday 2 June,New South Wales Swifts,43,46,Adelaide Thunderbirds,"Allphones Arena, Sydney"
2013,11,Sunday 2 June,Queensland Firebirds,47,53,Melbourne Vixens,Brisbane Convention and Exhibition Centre
2013,11,Sunday 2 June,Waikato Bay of Plenty Magic,58,52,Southern Steel,"Energy Events Centre, Rotorua"
2013,11,Monday 3 June,Canterbury Tactix,45,62,Central Pulse,"CBS Canterbury Arena, Christchurch"
2013,11,BYES:  West Coast Fever and Northern Mystics,,,,,
2013,12,Saturday 8 June,Melbourne Vixens,39,48,New South Wales Swifts,"Hisense Arena, Melbourne"
2013,12,Sunday 9 June,West Coast Fever,47,72,Queensland Firebirds,"Challenge Stadium, Perth"
2013,12,Sunday 9 June,Southern Steel,79,62,Canterbury Tactix,"Lion Foundation Arena, Dunedin"
2013,12,Monday 10 June,Northern Mystics,50,60,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
2013,12,BYES:  Adelaide Thunderbirds and Central Pulse,,,,,
2013,13,Sunday 16 June,Queensland Firebirds,52,48,New South Wales Swifts,Brisbane Convention and Exhibition Centre
2013,13,Sunday 16 June,Adelaide Thunderbirds,64,48,Northern Mystics,"Netball SA Stadium, Adelaide"
2013,13,Sunday 16 June,Waikato Bay of Plenty Magic,56,51,Melbourne Vixens,"Claudelands Arena, Hamilton"
2013,13,Monday 17 June,Central Pulse,73,59,Canterbury Tactix,"Te Rauparaha Arena, Porirua"
2013,13,Monday 17 June,West Coast Fever,68,56,Southern Steel,"Challenge Stadium, Perth"
2013,14,Sunday 23 June,Melbourne Vixens,69,39,West Coast Fever,"Hisense Arena, Melbourne"
2013,14,Sunday 23 June,Adelaide Thunderbirds,54,52,Queensland Firebirds,"Netball SA Stadium, Adelaide"
2013,14,Sunday 23 June,Southern Steel,64,73,Central Pulse,"Stadium Southland Velodrome,Invercargill"
2013,14,Monday 24 June,Waikato Bay of Plenty Magic,68,40,Northern Mystics,"ASB Baypark Arena, Tauranga"
2013,14,Monday 24 June,New South Wales Swifts,62,42,Canterbury Tactix,Sydney Olympic Park Sports Centre
