Year,Round,Date,HomeTeam,HomeScore,AwayScore,AwayTeam,Venue
2008,13,Saturday 28 June,Northern Mystics,42,28,Central Pulse,"North Shore Events Centre, Auckland"
2008,13,Saturday 28 June,Adelaide Thunderbirds,66,47,Queensland Firebirds,"ETSA Park, Adelaide"
2008,13,Sunday 29 June,West Coast Fever,50,44,Canterbury Tactix,"Challenge Stadium, Perth"
2008,13,Monday 30 June,Southern Steel,47,43,Waikato Bay of Plenty Magic,"Stadium Southland, Invercargill"
2008,13,Monday 30 June,Melbourne Vixens,49,62,New South Wales Swifts,"Vodafone Arena, Melbourne"
2008,14,Saturday 5 July,Waikato Bay of Plenty Magic,69,44,Canterbury Tactix,"Mystery Creek Events Centre,Hamilton"
2008,14,Sunday 6 July,Melbourne Vixens,56,47,Northern Mystics,"Vodafone Arena, Melbourne"
2008,14,Sunday 6 July,Southern Steel,54,52,Queensland Firebirds,"Edgar Centre, Dunedin"
2008,14,Monday 7 July,Central Pulse,32,44,Adelaide Thunderbirds,"Pettigrew Green Arena, Napier"
2008,14,Monday 7 July,West Coast Fever,54,63,New South Wales Swifts,"Challenge Stadium, Perth"
2008,15,Sunday 13 July,Waikato Bay of Plenty Magic,56,57,New South Wales Swifts,"Mystery Creek Events Centre,Hamilton"
2008,15,Monday 14 July,Adelaide Thunderbirds,53,48,Melbourne Vixens,"ETSA Park, Adelaide"
2008,16,Monday 21 July,Waikato Bay of Plenty Magic,51,49,Adelaide Thunderbirds,"Mystery Creek Events Centre,Hamilton"
2008,17,Monday 28 July,New South Wales Swifts,65,56,Waikato Bay of Plenty Magic,"Acer Arena, Sydney"
2009,1,"Saturday 4 April, 2:00 pm",Southern Steel,55,46,Central Pulse,"Stadium Southland, Invercargill"
2009,1,"Saturday 4 April, 2:00 pm",Melbourne Vixens,57,44,West Coast Fever,"State Netball and Hockey Centre, Melbourne"
2009,1,"Sunday 5 April, 2:30 pm",Queensland Firebirds,48,60,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
2009,1,"Monday 6 April, 7:00 pm",Northern Mystics,38,51,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
2009,1,"Monday 6 April, 7:00 pm",New South Wales Swifts,62,45,Canterbury Tactix,Sydney Olympic Park Sports Centre
2009,2,"Saturday 11 April, 2:00 pm",Waikato Bay of Plenty Magic,54,47,Southern Steel,"Queen Elizabeth Youth Centre, Tauranga"
2009,2,"Sunday 12 April, 2:00 pm",Adelaide Thunderbirds,48,47,New South Wales Swifts,"ETSA Park, Adelaide"
2009,2,"Sunday 12 April, 6:30 pm",Northern Mystics,54,50,Central Pulse,"North Shore Events Centre, Auckland"
2009,2,"Monday 13 April, 7:00 pm",Canterbury Tactix,52,44,West Coast Fever,"Westpac Arena, Christchurch"
2009,2,"Monday 13 April, 7:00 pm",Queensland Firebirds,51,54,Melbourne Vixens,Brisbane Convention and Exhibition Centre
